"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","TAXON.CONCEPT.ID","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","BREEDING.CODE","BREEDING.CATEGORY","BEHAVIOR.CODE","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","ID","NSPECIES","Vireo_gracilirostris"
"454","URN:CornellLabOfOrnithology:EBIRD:OBS119805909","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"1995-03-03","","obsr266046","S8326219","Incidental","P20","EBIRD",NA,NA,NA,4,0,"",0,1,0,"","","",14,3,1
"2090","URN:CornellLabOfOrnithology:EBIRD:OBS72737541","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-02-07","08:00:00","obsr26981","S5167370","Traveling","P22","EBIRD",540,4.828,NA,15,1,"",0,1,0,"","Noronha vireo abundant","",91,15,1
"3247","URN:CornellLabOfOrnithology:EBIRD:OBS871195899","2020-02-27 14:27:41",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-07-06","","obsr832574","S65196624","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",1,1,0,"","","",127,2,1
"3399","URN:CornellLabOfOrnithology:EBIRD:OBS710818135","2020-05-29 16:28:42",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Açude do Xaréu","L5007230","H",-3.8666667,-32.4283333,"2003-09-10","10:00:00","obsr601274","S52731557","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,"","Com Robson Silva e Silva","",133,6,1
"3400","URN:CornellLabOfOrnithology:EBIRD:OBS710784503","2019-02-15 14:34:03",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2003-09-10","09:00:00","obsr601274","S52729375","Historical","P62","EBIRD",NA,NA,NA,3,1,"",0,1,0,"","Mirante dos Golfinhos e trilha até o Sancho","",134,10,1
"3953","URN:CornellLabOfOrnithology:EBIRD:OBS135838583","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","15","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-12-31","06:00:00","obsr235798","S9559854","Historical","P62","EBIRD",720,8.047,NA,1,1,"",0,1,0,"","Full day on the island, including a short boat trip to see spinner dolphins","",153,17,1
"3954","URN:CornellLabOfOrnithology:EBIRD:OBS135838551","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","8","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-12-29","","obsr235798","S9559852","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,"","","",154,13,1
"3955","URN:CornellLabOfOrnithology:EBIRD:OBS135838567","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","75","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-12-30","06:00:00","obsr235798","S9559853","Historical","P62","EBIRD",720,8.047,NA,1,1,"",0,1,1,"","Full day on the island","Carefully counted the vireos over most of the island during the day.",152,16,1
"4187","URN:CornellLabOfOrnithology:EBIRD:OBS135838603","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","10","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2004-01-01","","obsr235798","S9559855","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,"","","",163,20,1
"11036","URN:CornellLabOfOrnithology:EBIRD:OBS368949928","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2005-10-21","","obsr162357","S27142717","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,"","","",332,7,1
